"shortcut","title","message"
"/kod","Kod iste","Merhaba, dogru parcayi bulmam icin eski parca uzerindeki OEM/parca kodunu veya urun fotografini gonderebilir misiniz?"
"/sase","Sase iste","Aracin marka-modeli ve mumkunse sase numarasini gonderirseniz uyumlulugu daha net teyit edebilirim."
"/foto","Foto iste","Eski parcanin on/arka fotografini ve uzerindeki kodlari gonderin; stok ve fiyat bilgisini hemen kontrol edelim."
"/fiyat","Fiyat kontrol","Fiyat ve stok bilgisini kontrol ediyorum. OEM/SKU veya arac modelini netlestirirsek yanlis parca riskini azaltiriz."
"/stok","Stok var","Urun stokta gorunuyor. Siparis oncesi OEM/sase teyidini yapip kargo bilgisini paylasalim."
"/kargo","Kargo","14:00'a kadar netlesen stoklu siparislerde ayni gun kargo icin hazirlik yapiyoruz. 3000 TL uzeri standart kargo ucretsizdir."
"/iade","Iade guven","Uyumluluk teyidiyle ilerliyoruz. Buna ragmen sorun olursa 14 gun iade destegimiz var."
"/odeme","Odeme","Kredi karti, taksit ve havale/EFT secenekleriyle ilerleyebiliriz. Net tutari stok/uyum teyidinden sonra paylasiyorum."
"/dorse","Dorse","BPW, SAF, Krone, Kogel, Schmitz ve Tirsan dorse fren parcalari icin OEM kodu veya eski parca fotografi gonderebilirsiniz."
"/otobus","Otobus","Travego, Tourismo, O403, O500 ve Fortuna otobus fren parcalari icin model, yil ve parca kodu ile teyit yapalim."
